symbol,company_name,market_cap,cap_numeric,cap_score,cap_emoji
AAPL,Apple Inc.,3436885920100.0,3436885920100.0,1,🏆
ABNB,"Airbnb, Inc. Class A Common Stock",76590682317.0,76590682317.0,2,🥈
ACN,Accenture PLC,153850844685.97,153850844685.97,2,🥈
ADBE,Adobe Inc.,150527370000.0,150527370000.0,2,🥈
ADI,"Analog Devices, Inc.",114945969639.48,114945969639.48,2,🥈
ADM,Archer Daniels Midland Company,28707752859.25,28707752859.25,3,🥉
ADSK,Autodesk Inc,61344316520.55,61344316520.55,2,🥈
AKAM,Akamai Technologies Inc,10670750993.76,10670750993.76,3,🥉
AMAT,Applied Materials Inc,129808099090.835,129808099090.835,2,🥈
AMD,Advanced Micro Devices,288070983234.39,288070983234.39,1,🏆
AMZN,Amazon.Com Inc,2463914641769.91,2463914641769.91,1,🏆
ANET,Arista Networks,172567616811.30002,172567616811.30002,2,🥈
APH,Amphenol Corporation,133336794532.31,133336794532.31,2,🥈
APTV,Aptiv PLC,16153422779.98,16153422779.98,3,🥉
AVGO,Broadcom Inc. Common Stock,1440861299706.86,1440861299706.86,1,🏆
AZO,"AutoZone, Inc.",67030451413.74,67030451413.74,2,🥈
BBY,"Best Buy Company, Inc.",15138763691.22,15138763691.22,3,🥉
BF.B,Brown-Forman Corporation Class B,14385864143.69,14385864143.69,3,🥉
BG,Bunge Global SA,16361071832.04,16361071832.04,3,🥉
BKNG,Booking Holdings Inc. Common Stock,176772911656.65,176772911656.65,2,🥈
CAG,"Conagra Brands, Inc.",9176558823.27,9176558823.27,4,🟢
CCL,Carnival Corporation,40351053022.08,40351053022.08,3,🥉
CDNS,Cadence Design Systems,95338801200.0,95338801200.0,2,🥈
CDW,CDW Corporation,21462507601.2,21462507601.2,3,🥉
CHD,"Church & Dwight Co., Inc.",22528932113.6,22528932113.6,3,🥉
CHTR,Charter Comm Inc Del CL A New,36579065783.0,36579065783.0,3,🥉
CL,Colgate-Palmolive Company,68755344732.04999,68755344732.04999,2,🥈
CLX,Clorox Company,14942541108.38,14942541108.38,3,🥉
CMCSA,Comcast Corp,123504307491.9,123504307491.9,2,🥈
CMG,"Chipotle Mexican Grill, Inc.",59052575400.0,59052575400.0,2,🥈
COST,Costco Wholesale Corp,431077466675.44,431077466675.44,1,🏆
